Beta0,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6
0.98966962,-1.240069484,1.165755808,-1.316489471,-0.708926235,-0.486482673,0.620442659
0.508197881,0.763823909,0.422442139,-1.041658375,-0.422389986,0.293754324,-0.130171867
1.176319743,-2.005694228,-0.120187329,-1.452017925,-0.260240808,-1.022754515,0.958581754
0.701955798,-1.365564781,1.040621179,-1.480590434,0.047043552,-0.459839813,0.531380104
0.63206329,-1.420147236,1.92191517,-1.180823054,-0.043623046,-0.586006497,0.668940389
0.78567988,-1.822467175,3.288535292,-1.19878092,0.005226901,-1.747034149,2.46601847
0.46935809,-1.378848528,2.400435978,-0.679088225,-0.027935027,0.841787825,-1.497029342
0.842256221,-1.934774631,2.619715071,-1.546529467,-0.441916756,0.348416365,-0.646145063
0.251577414,-3.369912007,2.832507263,-0.974632211,0.371515717,1.148863967,-1.783952036
0.728655146,-0.887541726,1.037072967,-1.186506187,-0.137003554,-0.634562101,0.716655031
0.472822671,-0.829391594,2.441205961,-1.458728276,-0.162497248,0.600168375,-0.440840815
0.822482226,-2.229105843,2.491678267,-1.096660617,-0.516363235,0.138277555,-0.570520489
0.72452406,-1.709802127,2.376366221,-1.45113523,0.102651202,-0.885490775,0.591135537
0.960983206,-0.803288047,-0.178938356,-1.436016484,0.241339227,-2.446700125,2.70481188
0.684154432,-1.453288819,1.082811298,-1.566261431,0.159552939,-0.029026272,0.010968667
0.88716703,-2.445723359,1.721982826,-1.632806366,0.122674591,-2.284872652,2.879945608
0.782809328,-1.351482087,1.23691493,-1.166744109,-0.382948684,0.28177835,-0.459747956
0.446455275,-2.005361661,3.196278921,-0.723707359,-0.254394746,-0.244826088,0.470361061
0.546334126,-1.700090299,1.772859111,-1.190876474,0.026231352,0.49547004,-0.622510429
0.387963584,-0.99943284,1.953966079,-0.584063655,0.259064826,-0.472230424,0.40080074
0.288366084,-2.249400866,3.099435387,-1.069172502,0.534672818,-0.243333118,0.558154876
0.349324012,-2.727105712,0.713692263,-1.032452775,0.184290454,0.497808844,-0.327554227
0.372633345,-1.224374182,3.089674468,-1.387873833,0.466713335,0.240284907,-0.803067804
0.66969529,-0.95399799,4.25486997,-0.739591634,-0.117106519,-0.921403573,0.669986361
0.566097396,-1.104486675,1.175793708,-2.343709998,0.084522476,1.056650291,-1.258976341
0.406593388,-1.329168955,2.606512866,-0.893143658,0.444327095,-1.624788899,1.816397107
0.681066109,-1.012848189,1.414386891,-1.277883026,-0.586584285,0.561450364,-0.578222691
0.789217859,-2.091033992,1.708388021,-1.258106315,-0.145949988,-0.904146354,1.375500308
0.771860029,-2.436361639,3.297608664,-1.234046231,-0.115306663,-1.636589818,2.273842009
0.556452004,-0.861117222,3.25123059,-0.98337895,-0.403320377,0.018907512,0.019520244
0.675682792,-0.471792142,1.222345929,-1.190711182,-0.420719775,1.484351164,-2.066452811
0.743808805,-0.677206018,0.855156728,-1.335957088,-0.300773136,0.191573788,-0.285700655
0.583704582,-0.923725399,0.422818725,-1.055912089,-0.02637178,0.424303395,0.029654728
0.655021068,-1.201300402,2.174633925,-1.286463833,0.033736323,-0.466404328,0.399289013
0.7588008,-0.452409628,0.041775882,-1.728526382,0.005554293,-0.350584692,0.468792342
0.526189052,-0.018528172,1.800891857,-1.373298343,-0.334250712,1.708399962,-2.332923318
1.367751395,-1.014345253,1.747510064,-1.940204583,-0.12474377,-3.609120985,4.242632585
0.775677429,-2.264437553,1.730161447,-1.758565377,-0.045316972,0.253920763,-0.42621401
0.905074411,-0.574055624,1.866165562,-1.478833129,-0.132253498,-0.75085403,0.646246904
1.06431633,-1.900702614,2.190574564,-1.566051971,-0.061077243,-2.760151801,3.443337429
0.852970568,-2.643713886,3.028943139,-1.051186566,-0.098913138,-0.259644129,-0.493869819
0.839593188,-0.65394532,0.908512345,-1.417488677,-0.100344079,0.817070977,-1.604990875
0.514756132,-1.918020439,4.265359142,-1.150051849,-0.254450673,0.395091818,-0.554777252
0.417719986,-2.456451834,2.343864177,-1.537968146,0.271161061,-0.23113506,0.833096144
0.357511699,-2.231277731,2.447902188,-0.582009807,-0.156629139,0.807993904,-1.170048041
0.503276075,-0.857814741,1.643799274,-1.724111489,0.386164602,-0.868549008,2.01809023
0.600430014,-0.917382988,1.756447012,-1.314948628,-0.18833275,0.935423616,-1.225109938
